Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,744.900024,756.900024,621.900024,669.299988,665.339478,44286112
2016-12-31,673,730.799988,661.099976,681.799988,677.765503,28570678
2017-01-31,675,714.650024,628.25,677.200012,673.19281,58221013
2017-02-28,680.349976,710.349976,649.900024,675.200012,671.20459,44554943
2017-03-31,675.5,687,604.099976,606.75,603.159668,30328919
2017-04-30,606.75,626.799988,503.049988,574.150024,570.752563,84523502
2017-05-31,575,692.650024,570.25,684.599976,680.54895,84202349
2017-06-30,685,794.700012,669.5,718.599976,715.844055,60237737
2017-07-31,719,750.400024,665,725.25,722.468628,54452956
2017-08-31,729.5,776,665.049988,691.650024,688.997498,55892461
2017-09-30,691.650024,775,691.650024,760,757.085327,41480647
2017-10-31,763.5,809.450012,689.049988,692.849976,690.19281,121882320
2017-11-30,696,702.599976,650,687.950012,686.769897,39046164
2017-12-31,690,698.799988,623,629.549988,628.470032,40524078
2018-01-31,628.599976,631.349976,560.700012,613.900024,612.846924,56531963
2018-02-28,615,628,544.099976,557.849976,557.849976,59495881
2018-03-31,560.049988,653,558.5,642,642,38811564
2018-04-30,642,644.75,551.950012,556.299988,556.299988,41252160
2018-05-31,556.200012,627.599976,527,607.099976,607.099976,62907969
2018-06-30,609.700012,636,565.049988,591.549988,591.549988,40445667
2018-07-31,593,719.950012,591.849976,712.75,712.75,67838565
2018-08-31,715,827.450012,674.099976,744.450012,744.450012,125443561
2018-09-30,743.900024,796.799988,708.5,791.549988,791.549988,63961829
2018-10-31,800,804.799988,770.799988,785.900024,785.900024,8218838
2018-11-07,787,796.5,787,794.200012,794.200012,572968
